,neighborhood,year,livability_score,livability_deviation_from_avg,physical_environment_deviation,nuisance_insecurity_deviation,social_cohesion_deviation,facilities_deviation,housing_stock_deviation,dimension_scores_available,dist_supermarket,dist_daily_groceries,dist_attraction,dist_library,dist_museum,dist_performing_arts,dist_cinema,dist_sauna,dist_cafe,dist_cafeteria,dist_restaurant,dist_swimming_pool,dist_ice_rink,dist_gp_post,dist_gp_practice,dist_pharmacy,dist_hospital,dist_daycare,dist_after_school_care,dist_primary_school,dist_secondary_school,dist_highway_ramp,dist_train_station,rental_dwellings,owner_occupied_dwellings,corporation_dwellings,total_dwellings,pct_occupied,avg_woz_value,pct_feels_unsafe,pct_perceives_crime,safety_rating,pct_noise_air_traffic,pct_noise_rail_traffic,pct_noise_business,pct_noise_road_traffic,pct_noise_events,pct_noise_neighbors,pct_polluted_air,pct_bad_smell,pct_any_noise,survey_available,address_density,urbanity_class,area_water_ha,area_land_ha,area_total_ha,cohesion_scale_score,pct_actively_engaged,pct_wants_to_engage,pct_maybe_engage,engagement_available,population
10,'t Hofke,2014,3.98598611768489,-0.1162787334588,-0.0462356088007496,-0.0597899902875391,-0.0307418389185554,0.0124018767515813,0.008086827796463,True,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.38,0.57,1559.0,0.98,.,,,,0.03,0.19,0.02,0.13,0.06,0.07,0.19,0.08,0.3,False,1197,Moderately urban,0.0,150.0,.,,,,,,3573
11,'t Hofke,2015,,,,,,,,,0.6,0.4,4.6,4.1,3,3.2,3.4,2.4,0.9,0.6,0.4,3.9,6.2,4.8,0.8,0.8,2.9,0.5,0.6,0.6,1.2,0.9,3.5,0.06,0.38,0.56,1559.0,0.98,.,,,,0.06,0.22,0.04,0.1,0.08,0.1,0.17,0.04,0.34,False,1368,Moderately urban,0.0,150.0,150,,,,,,3558
12,'t Hofke,2016,4.02478469041875,-0.077480160724937,,,,,,False,0.6,0.4,4.6,4.1,3,3.2,3.4,2.4,0.9,0.6,0.4,3.9,6.2,4.8,0.8,0.8,2.9,0.5,0.6,0.6,1.2,0.9,3.5,0.11,0.39,0.49,1563.0,0.98,204,,,,0.04,0.23,0.02,0.09,0.05,0.13,0.2,0.06,0.34,False,1371,Moderately urban,0.0,150.0,150,,,,,,3480
13,'t Hofke,2017,,,,,,,,,0.6,0.4,4.6,4.1,3,3.2,3.4,2.4,0.9,0.6,0.4,3.9,6.2,.,0.8,0.8,2.9,0.5,0.6,0.6,1.2,0.9,3.5,0.11,0.4,0.49,1564.0,0.98,211,,,,0.04,0.3,0.02,0.12,0.11,0.07,0.17,0.05,0.44,False,1375,Moderately urban,0.0,150.0,.,,,,,,3468
14,'t Hofke,2018,3.99816494753371,-0.104099903609979,-0.044550699901537,-0.0645422677649751,-0.0297480765621434,0.0159389317303011,0.0188022088883754,True,0.6,0.4,4.8,4.1,3,1.3,3.4,2.4,0.9,0.6,0.4,3.9,6.2,4.8,0.8,0.8,2.9,0.5,0.6,0.6,1.2,0.9,3.5,0.1,0.4,0.49,1564.0,0.98,223,0.32,0.1,7.1,0.01,0.33,0.02,0.26,0.12,0.1,0.2,0.08,0.5,True,1376,Moderately urban,0.0,150.0,150,6.6,,,,False,3456
15,'t Hofke,2019,,,,,,,,,0.5,0.4,4.9,4,2.9,1.2,3.7,2.4,0.9,0.6,0.5,3.9,6.2,4.8,0.8,0.8,2.9,0.5,0.6,0.6,1.2,0.9,3.3,0.09,0.42,0.49,1575.0,0.98,245,0.29,0.13,6.9,0.02,0.28,0.02,0.24,0.1,0.12,0.2,0.08,0.47,True,1378,Moderately urban,0.0,150.0,150,6.3,,,,False,3473
16,'t Hofke,2020,3.99387648611651,-0.108388365027173,-0.0263383980993175,-0.104624191251605,-0.032060685285659,0.0379098648610562,0.0167250447483521,True,0.6,0.4,4.9,3.9,2.9,1.2,3.7,2.3,0.9,0.6,0.5,3.8,6.2,4.7,0.8,0.8,2.8,0.5,0.6,0.6,1.2,1,3.2,0.12,0.35,0.53,1875.0,0.93,230,0.28,0.15,6.9,0.03,0.26,0.03,0.23,0.1,0.16,0.21,0.11,0.51,True,1429,Moderately urban,0.0,150.0,150,6.1,,,,False,3683
17,'t Hofke,2021,,,,,,,,,0.6,0.4,4.6,3.9,2.8,1.3,3.7,2.3,0.9,0.6,0.5,3.7,6.1,4.7,0.8,0.8,2.8,0.5,0.6,0.6,1.2,1,3.2,0.08,0.35,0.57,1876.0,0.96,245,0.24,0.12,7.1,0.05,0.26,0.02,0.19,0.06,0.14,0.18,0.09,0.41,True,1434,Moderately urban,0.0,150.0,150,6.2,,,,False,3734
18,'t Hofke,2022,4.03110759206847,-0.0711572590752163,-0.0237083104541709,-0.0360448653949909,0.0114041250284627,0.0351021522505621,-0.0579103605050795,True,0.6,0.4,4.8,4.2,3,1.3,4,2.5,1.8,0.7,0.5,3.9,6.3,4.8,0.9,0.9,2.9,0.5,0.6,0.6,1.2,1,3.6,0.08,0.35,0.57,1876.0,0.97,268,0.21,0.12,7.3,0.04,0.27,0.02,0.24,0.08,0.16,0.22,0.09,0.45,True,1438,Moderately urban,0.0,150.0,150,6.2,,,,False,3737
19,'t Hofke,2023,,,,,,,,,0.6,0.4,4.8,4.2,3,1.3,4,2.5,1.8,0.7,0.6,5.7,6.3,4.8,0.9,0.9,2.9,0.5,0.6,0.6,1.2,1,3.5,0.08,0.34,0.59,1957.0,0.97,300,0.19,0.12,7.4,0.04,0.31,0.04,0.3,0.11,0.18,0.21,0.07,0.51,True,1452,Moderately urban,0.0,150.0,150,6.2,0.39,0.18,0.38,True,3805
