year,avgLivability,avgLivabilityDeviation,avgPopulation,avgSafety,avgCohesion,avgWoz,avgTotalDwellings,avgPctUnsafe,avgPhysicalDeviation,avgNuisanceDeviation,avgSocialDeviation,avgFacilitiesDeviation,avgHousingDeviation,dimensionScoresAvailable,surveyAvailable,wozAvailable
2014,4.095545686842614770642202,-0.006719164301071085321101,2008.336363636363636363636364,0.0E0,0.0E0,0.0E0,940.954545454545454545454545,0.0E0,-0.022431896728160765137615,-0.035275307609217880733945,0.002658732405303304587156,0.047730652644489539449541,0.000598654986514450458716,true,false,false
2015,0.0E0,0.0E0,2029.163636363636363636363636,0.0E0,0.0E0,0.0E0,948.045454545454545454545455,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,false,false
2016,4.107481928099315963302752,0.005217076955630935779817,2043.418181818181818181818182,0.0E0,0.0E0,233.361702127659574468085106,968.818181818181818181818182,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,false,true
2017,0.0E0,0.0E0,2044.288288288288288288288288,0.0E0,0.0E0,238.821052631578947368421053,971.261261261261261261261261,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,false,true
2018,4.118233714231630272727273,0.015968863087944943636364,2064.243243243243243243243243,6.96043956043956043956044,6.187912087912087912087912,255.157894736842105263157895,986.18018018018018018018018,0.228131868131868131868132,-0.019150881281682708181818,-0.024636645307578307272727,0.001493384377595136363636,0.050364032924041494545455,0.007898972375569044545455,true,true,true
2019,0.0E0,0.0E0,2105.463636363636363636363636,6.968131868131868131868132,6.143956043956043956043956,295.257731958762886597938144,1011.709090909090909090909091,0.230769230769230769230769,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,true,true
2020,4.136874496359626,0.034609645215941051818182,2111.54954954954954954954955,7.006593406593406593406593,6.095604395604395604395604,313.505050505050505050505051,1017.684684684684684684684685,0.235384615384615384615385,-0.015182838156470554545455,-0.025076717449972836363636,-0.001998216599311458181818,0.066038220156282293636364,0.010829197265413352727273,true,true,true
2021,0.0E0,0.0E0,2123.081081081081081081081081,7.154945054945054945054945,6.00989010989010989010989,338.49,1030.594594594594594594594595,0.233076923076923076923077,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,true,true
2022,4.144255110035085181818182,0.041990258891399908181818,2146.675675675675675675675676,7.267032967032967032967033,5.957142857142857142857143,366.188118811881188118811881,1045.522522522522522522522523,0.234725274725274725274725,-0.010910979742596222727273,-0.020092061391547538181818,-0.004044903981766282727273,0.067397662121039730909091,0.00964054188626987,true,true,true
2023,0.0E0,0.0E0,2195.621621621621621621621622,7.325274725274725274725275,5.969230769230769230769231,415.891089108910891089108911,1066.036036036036036036036036,0.231208791208791208791209,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,true,true
2024,4.124135160483234272727273,0.021870309339548940909091,2219.873873873873873873873874,7.323076923076923076923077,5.989010989010989010989011,420.772277227722772277227723,1075.432432432432432432432432,0.245164835164835164835165,-0.014835827860726132727273,-0.024591844808106712727273,-0.006607814307630650909091,0.065109406787159396363636,0.002796389528852709090909,true,true,true
2025,0.0E0,0.0E0,2243.405405405405405405405405,7.294505494505494505494505,6.0,420.772277227722772277227723,1091.72972972972972972972973,0.273736263736263736263736,0.0E0,0.0E0,0.0E0,0.0E0,0.0E0,false,true,true
