neighborhood,year1,year2,livabilityDelta,populationDelta,dwellingsDelta,wozDelta,safetyDelta,facilitiesDeviationDelta,housingDeviationDelta
't Hofke,2014,2016,0.03879857273386,-93.0,4.0,,,,
't Hofke,2016,2018,-0.02661974288504,-24.0,1.0,19.0,,,
't Hofke,2018,2020,-0.0042884614172,227.0,311.0,7.0,-0.2,0.0219709331307551,-0.0020771641400233
't Hofke,2020,2022,0.03723110595196,54.0,1.0,38.0,0.4,-0.0028077126104941,-0.0746354052534316
't Hofke,2022,2024,-0.01805721065432,54.0,84.0,31.0,0.1,0.0084788828262222,-0.0226546512996789
't Hool,2014,2016,0.00426370477187,13.0,1.0,,,,
't Hool,2016,2018,0.02554120579217,92.0,7.0,14.0,,,
't Hool,2018,2020,0.02306205373355,52.0,5.0,37.0,-0.2,0.0096492745009627,0.0080789096294768
't Hool,2020,2022,-0.01711064033207,-14.0,1.0,48.0,0.5,-0.0069488552268809,-0.0065912010965938
't Hool,2022,2024,-0.01325884553122,56.0,4.0,44.0,-0.3,-0.0049110490800939,-0.0151012733939707
Achtse Barrier-Gunterslaer,2014,2016,0.02085255596331,-51.0,3.0,,,,
Achtse Barrier-Gunterslaer,2016,2018,0.00395775339333,-9.0,1.0,20.0,,,
Achtse Barrier-Gunterslaer,2018,2020,0.01582643733584,-7.0,-1.0,40.0,0.1,0.0114076079881919,0.0010191256608154
Achtse Barrier-Gunterslaer,2020,2022,0.01190355365879,-26.0,-1.0,48.0,0.2,-0.0076561812139599,0.0118150280272123
Achtse Barrier-Gunterslaer,2022,2024,-0.04081972819056,47.0,3.0,53.0,0.5,-0.0001230235451786,-0.0074388468572983
Achtse Barrier-Hoeven,2014,2016,0.02276830568992,-24.0,0.0,,,,
Achtse Barrier-Hoeven,2016,2018,-0.00703863882795,-74.0,0.0,18.0,,,
Achtse Barrier-Hoeven,2018,2020,0.03007913116983,-24.0,0.0,36.0,0.0,0.0115489336163368,0.0074463233830097
Achtse Barrier-Hoeven,2020,2022,-0.00041278310802,-106.0,0.0,44.0,0.3,-0.0080138264268599,0.0027888964941634
Achtse Barrier-Hoeven,2022,2024,-0.0225903894657,2.0,2.0,52.0,-0.1,-0.0002231062383898,-0.0019474634202436
Achtse Barrier-Spaaihoef,2014,2016,0.02530970494291,-60.0,0.0,,,,
Achtse Barrier-Spaaihoef,2016,2018,-0.00759980867629,-49.0,0.0,23.0,,,
Achtse Barrier-Spaaihoef,2018,2020,0.03758012869154,-49.0,0.0,40.0,-0.1,0.0112102786525549,0.0052349011651234
Achtse Barrier-Spaaihoef,2020,2022,0.03098257057054,-35.0,0.0,49.0,0.3,-0.0092137428367205,0.0143734730070677
Achtse Barrier-Spaaihoef,2022,2024,-0.03860589438613,51.0,2.0,61.0,0.3,-0.0001549167040227,-0.0021042214928312
Barrier,2014,2016,-0.00075813416923,62.0,39.0,,,,
Barrier,2016,2018,0.01869709062957,-84.0,4.0,26.0,,,
Barrier,2018,2020,0.03835440109542,-38.0,0.0,44.0,0.0,0.0297455053214457,-0.0032399761646169
Barrier,2020,2022,-0.00830635088512,-85.0,4.0,48.0,0.4,-0.005720154189743,0.0104915750782515
Barrier,2022,2024,0.01480723461888,2.0,6.0,50.0,-0.1,0.0055913682937556,-0.0021904953924558
BeA2,2014,2016,0.09781977915089,-6.0,-1.0,,,,
BeA2,2016,2018,-0.0830597857701,-2.0,-1.0,,,,
BeA2,2018,2020,0.01758354091716,-2.0,0.0,,,0.0058791466739996,0.0017165935190803
BeA2,2020,2022,-0.16250858689106,7.0,0.0,,,-0.0188741852708368,-0.0017118997104183
BeA2,2022,2024,0.19563356230838,-4.0,0.0,,,-0.0424370140075251,-0.0037609731292424
Bennekel-Oost,2014,2016,0.01906458401431,62.0,-10.0,,,,
Bennekel-Oost,2016,2018,0.01288830006016,-2.0,-1.0,15.0,,,
Bennekel-Oost,2018,2020,0.03612542184033,59.0,40.0,31.0,0.3,0.0137232231711948,0.0132675805002396
Bennekel-Oost,2020,2022,0.01214311437557,-61.0,2.0,50.0,0.6,-0.0046923641144743,-0.0074996008514825
Bennekel-Oost,2022,2024,0.00361457047873,7.0,11.0,44.0,-0.1,-0.0054888238991618,-0.0015748348214113
"Bennekel-West, Gagelbosch",2014,2016,0.01535165510572,-5.0,1.0,,,,
"Bennekel-West, Gagelbosch",2016,2018,-0.01352245384187,188.0,162.0,15.0,,,
"Bennekel-West, Gagelbosch",2018,2020,0.02201781741573,-53.0,5.0,35.0,0.3,0.0099583267193169,0.0170825128091391
