neighborhood,year,livabilityScore
't Hofke,2014,3.98598611768489
't Hofke,2016,4.02478469041875
't Hofke,2018,3.99816494753371
't Hofke,2020,3.99387648611651
't Hofke,2022,4.03110759206847
't Hofke,2024,4.01305038141415
't Hool,2014,3.8730558948039
't Hool,2016,3.87731959957577
't Hool,2018,3.90286080536794
't Hool,2020,3.92592285910149
't Hool,2022,3.90881221876942
't Hool,2024,3.8955533732382
Achtse Barrier-Gunterslaer,2014,4.05059653353343
Achtse Barrier-Gunterslaer,2016,4.07144908949674
Achtse Barrier-Gunterslaer,2018,4.07540684289007
Achtse Barrier-Gunterslaer,2020,4.09123328022591
Achtse Barrier-Gunterslaer,2022,4.1031368338847
Achtse Barrier-Gunterslaer,2024,4.06231710569414
Achtse Barrier-Hoeven,2014,4.01317581259052
Achtse Barrier-Hoeven,2016,4.03594411828044
Achtse Barrier-Hoeven,2018,4.02890547945249
Achtse Barrier-Hoeven,2020,4.05898461062232
Achtse Barrier-Hoeven,2022,4.0585718275143
Achtse Barrier-Hoeven,2024,4.0359814380486
Achtse Barrier-Spaaihoef,2014,4.04986655891854
Achtse Barrier-Spaaihoef,2016,4.07517626386145
Achtse Barrier-Spaaihoef,2018,4.06757645518516
Achtse Barrier-Spaaihoef,2020,4.1051565838767
Achtse Barrier-Spaaihoef,2022,4.13613915444724
Achtse Barrier-Spaaihoef,2024,4.09753326006111
Barrier,2014,3.95608765662955
Barrier,2016,3.95532952246032
Barrier,2018,3.97402661308989
Barrier,2020,4.01238101418531
Barrier,2022,4.00407466330019
Barrier,2024,4.01888189791907
BeA2,2014,4.12207648652176
BeA2,2016,4.21989626567265
BeA2,2018,4.13683647990255
BeA2,2020,4.15442002081971
BeA2,2022,3.99191143392865
BeA2,2024,4.18754499623703
Bennekel-Oost,2014,3.92357553778239
Bennekel-Oost,2016,3.9426401217967
Bennekel-Oost,2018,3.95552842185686
Bennekel-Oost,2020,3.99165384369719
Bennekel-Oost,2022,4.00379695807276
Bennekel-Oost,2024,4.00741152855149
"Bennekel-West, Gagelbosch",2014,3.97645339697357
