urbanityClass,year,avgLivability,avgPopulation,neighborhoodCount
Moderately urban,2014,4.170589499458919583333333,1738.75,24
Moderately urban,2015,0.0E0,1724.125,16
Moderately urban,2016,4.1889248347578975,1747.125,16
Moderately urban,2017,0.0E0,1694.294117647058823529411765,17
Moderately urban,2018,4.21929812830469,1800.5625,16
Moderately urban,2019,0.0E0,2078.428571428571428571428571,14
Moderately urban,2020,4.2192729673263125,1869.8125,16
Moderately urban,2021,0.0E0,1890.25,16
Moderately urban,2022,4.228718166497557647058824,1814.823529411764705882352941,17
Moderately urban,2023,0.0E0,1833.941176470588235294117647,17
Moderately urban,2024,4.221276666184861875,1597.25,16
Moderately urban,2025,0.0E0,1672.470588235294117647058824,17
Not urban,2014,4.302537568708982,98.333333333333333333333333,6
Not urban,2015,0.0E0,57.8,5
Not urban,2016,4.26268906877309,60.4,5
Not urban,2017,0.0E0,59.6,5
Not urban,2018,4.26646061624558,57.4,5
Not urban,2019,0.0E0,58.0,5
Not urban,2020,4.254944659031324,57.2,5
Not urban,2021,0.0E0,61.0,5
Not urban,2022,4.212575549986072,65.2,5
Not urban,2023,0.0E0,60.8,5
Not urban,2024,4.249828701306566,60.4,5
Not urban,2025,0.0E0,68.8,5
Slightly urban,2014,4.282820033117240833333333,746.583333333333333333333333,12
Slightly urban,2015,0.0E0,718.076923076923076923076923,13
Slightly urban,2016,4.266199778604188333333333,730.0,13
Slightly urban,2017,0.0E0,727.769230769230769230769231,13
Slightly urban,2018,4.290528686047086666666667,699.846153846153846153846154,13
Slightly urban,2019,0.0E0,701.384615384615384615384615,13
Slightly urban,2020,4.289269571370498181818182,752.75,12
Slightly urban,2021,0.0E0,747.75,12
Slightly urban,2022,4.299149184723135,774.181818181818181818181818,11
Slightly urban,2023,0.0E0,804.363636363636363636363636,11
Slightly urban,2024,4.259797398063924,828.545454545454545454545455,11
Slightly urban,2025,0.0E0,835.636363636363636363636364,11
Strongly urban,2014,4.008034543264663225806452,2908.35483870967741935483871,31
Strongly urban,2015,0.0E0,2637.176470588235294117647059,34
Strongly urban,2016,4.067059104238623235294118,2648.647058823529411764705882,34
Strongly urban,2017,0.0E0,2793.125,32
Strongly urban,2018,4.073224609549554193548387,2757.225806451612903225806452,31
Strongly urban,2019,0.0E0,2705.633333333333333333333333,30
Strongly urban,2020,4.099392586696160333333333,2725.033333333333333333333333,30
Strongly urban,2021,0.0E0,2702.448275862068965517241379,29
Strongly urban,2022,4.1134551812717825,2717.035714285714285714285714,28
Strongly urban,2023,0.0E0,2748.035714285714285714285714,28
Strongly urban,2024,4.102251078172463928571429,2928.0,28
Strongly urban,2025,0.0E0,3020.592592592592592592592593,27
Very strongly urban,2014,4.031479264774988648648649,2148.081081081081081081081081,37
Very strongly urban,2015,0.0E0,2293.666666666666666666666667,42
Very strongly urban,2016,4.045354299415956666666667,2308.952380952380952380952381,42
Very strongly urban,2017,0.0E0,2249.409090909090909090909091,44
Very strongly urban,2018,4.052354963103808043478261,2292.673913043478260869565217,46
Very strongly urban,2019,0.0E0,2331.791666666666666666666667,48
Very strongly urban,2020,4.085611686275436458333333,2362.395833333333333333333333,48
Very strongly urban,2021,0.0E0,2403.448979591836734693877551,49
Very strongly urban,2022,4.0949747720125854,2450.2,50
Very strongly urban,2023,0.0E0,2528.8,50
Very strongly urban,2024,4.066750849376410196078431,2538.235294117647058823529412,51
Very strongly urban,2025,0.0E0,2539.098039215686274509803922,51
